ID Obat;Nama Obat;Jenis Obat;Bentuk Obat;Kategori Obat;Dosis;Harga;Tanggal Expired;Jumlah Stok;Permintaan Bulanan;Waktu Reorder (hari);Jumlah Reorder;Penjualan
255;Amlodipine;Antibiotik;Injeksi;Tradisional;500 mg;15000;2024-11-26;200;50;45;50;Ya
256;Amlodipine;Antiinflamasi;Injeksi;Herbal;5 mg;5000;2025-05-29;20;30;45;100;Ya
257;Metformin;Analgesik;Salep;Resep;250 mg;15000;2025-03-04;500;15;45;20;Tidak
258;Metformin;Antihipertensi;Injeksi;Herbal;10 mg;20000;2025-03-03;500;50;45;20;Tidak
259;Ciprofloxacin;Antiinflamasi;Tablet;Herbal;5 mg;10000;2024-12-18;20;20;15;500;Tidak
260;Paracetamol;Antihipertensi;Injeksi;Resep;100 mg;15000;2024-11-06;300;50;30;10;Tidak
261;Metformin;Analgesik;Injeksi;Herbal;500 mg;5000;2025-07-27;300;20;15;20;Ya
262;Ibuprofen;Antihipertensi;Injeksi;Herbal;250 mg;15000;2026-06-16;100;5;30;200;Tidak
263;Metformin;Antibiotik;Sirup;Herbal;500 mg;5000;2025-10-14;30;15;7;30;Ya
264;Amoxicillin;Antihipertensi;Salep;Herbal;5 mg;25000;2025-10-11;20;30;30;500;Ya
265;Metformin;Antipiretik;Kapsul;Tradisional;250 mg;10000;2025-07-16;300;5;7;10;Tidak
266;Lisinopril;Analgesik;Injeksi;Resep;10 mg;5000;2026-01-07;30;20;15;20;Ya
267;Omeprazole;Antihipertensi;Sirup;Herbal;500 mg;25000;2025-08-20;20;20;7;500;Tidak
268;Omeprazole;Antihipertensi;Injeksi;Resep;10 mg;5000;2025-02-20;200;15;45;200;Ya
269;Metformin;Antibiotik;Sirup;Tradisional;10 mg;5000;2025-07-20;500;5;7;50;Ya
270;Ciprofloxacin;Antipiretik;Sirup;Herbal;10 mg;5000;2025-01-03;100;10;15;200;Tidak
271;Lisinopril;Analgesik;Injeksi;Resep;5 mg;15000;2025-08-16;10;10;30;20;Ya
272;Paracetamol;Antihipertensi;Kapsul;Herbal;10 mg;25000;2025-02-14;300;20;45;30;Tidak
273;Metformin;Antiinflamasi;Injeksi;Bebas;50 mg;15000;2026-03-26;50;50;7;50;Ya
274;Ibuprofen;Antiinflamasi;Injeksi;Herbal;250 mg;15000;2026-03-22;500;10;45;20;Ya
275;Ibuprofen;Antiinflamasi;Salep;Tradisional;50 mg;20000;2026-02-05;300;30;45;100;Tidak
276;Amoxicillin;Antipiretik;Kapsul;Resep;250 mg;10000;2024-10-29;10;15;45;500;Ya
277;Paracetamol;Antibiotik;Tablet;Bebas;250 mg;10000;2026-07-16;50;20;15;300;Ya
278;Paracetamol;Antibiotik;Injeksi;Resep;5 mg;5000;2024-08-25;10;15;15;20;Ya
279;Paracetamol;Analgesik;Sirup;Herbal;5 mg;20000;2026-03-04;20;20;30;500;Ya
280;Ibuprofen;Antibiotik;Salep;Resep;10 mg;15000;2025-08-03;500;5;30;50;Tidak
281;Metformin;Analgesik;Salep;Bebas;50 mg;10000;2025-02-05;30;30;15;500;Ya
282;Amoxicillin;Antiinflamasi;Salep;Bebas;5 mg;10000;2025-08-22;50;20;30;100;Ya
283;Paracetamol;Antiinflamasi;Sirup;Bebas;5 mg;15000;2026-07-03;100;20;15;10;Tidak
284;Amlodipine;Antihipertensi;Salep;Resep;500 mg;10000;2026-05-11;20;10;45;200;Tidak
285;Lisinopril;Antiinflamasi;Sirup;Tradisional;50 mg;25000;2026-05-09;500;10;15;200;Tidak
286;Amlodipine;Antihipertensi;Injeksi;Bebas;100 mg;20000;2026-05-07;200;15;30;500;Ya
287;Atorvastatin;Analgesik;Kapsul;Bebas;100 mg;20000;2026-03-14;100;20;15;200;Ya
288;Amlodipine;Antibiotik;Salep;Tradisional;10 mg;20000;2024-08-28;20;20;7;20;Ya
289;Amlodipine;Antibiotik;Kapsul;Resep;100 mg;10000;2024-07-26;100;10;30;30;Tidak
290;Metformin;Antipiretik;Sirup;Resep;5 mg;20000;2024-10-23;30;30;15;20;Tidak
291;Ciprofloxacin;Antipiretik;Kapsul;Herbal;250 mg;10000;2024-12-11;20;10;45;300;Tidak
292;Simvastatin;Analgesik;Injeksi;Tradisional;10 mg;15000;2025-08-09;30;15;45;100;Ya
293;Simvastatin;Analgesik;Injeksi;Tradisional;5 mg;5000;2025-05-25;100;20;30;500;Tidak
294;Amoxicillin;Analgesik;Injeksi;Herbal;500 mg;15000;2026-02-07;30;5;30;10;Ya
295;Simvastatin;Antihipertensi;Sirup;Bebas;500 mg;20000;2025-04-26;100;15;45;200;Tidak
296;Lisinopril;Antihipertensi;Salep;Tradisional;500 mg;10000;2025-09-11;30;20;7;50;Ya
297;Amlodipine;Antibiotik;Kapsul;Resep;500 mg;20000;2026-07-03;30;50;7;500;Ya
298;Simvastatin;Antibiotik;Salep;Bebas;5 mg;20000;2024-12-29;100;15;7;100;Ya
299;Ciprofloxacin;Antiinflamasi;Sirup;Herbal;10 mg;5000;2026-01-14;500;5;30;100;Tidak
300;Omeprazole;Antipiretik;Injeksi;Resep;100 mg;15000;2024-10-22;30;5;30;10;Tidak
301;Omeprazole;Antihipertensi;Injeksi;Bebas;5 mg;20000;2024-07-25;200;20;15;500;Tidak
302;Lisinopril;Antipiretik;Kapsul;Resep;250 mg;15000;2024-10-11;300;30;30;100;Ya
303;Paracetamol;Antipiretik;Sirup;Bebas;100 mg;15000;2026-05-06;10;15;15;300;Tidak
304;Amlodipine;Antipiretik;Kapsul;Herbal;50 mg;15000;2025-11-21;50;15;7;300;Ya
305;Amoxicillin;Antihipertensi;Salep;Resep;50 mg;15000;2025-06-24;30;10;15;200;Tidak
306;Metformin;Antibiotik;Kapsul;Bebas;5 mg;15000;2026-05-06;100;30;15;30;Ya
307;Lisinopril;Antihipertensi;Salep;Herbal;250 mg;20000;2026-04-13;20;10;45;50;Tidak
308;Amoxicillin;Antihipertensi;Sirup;Resep;250 mg;10000;2024-09-19;50;30;7;10;Tidak
309;Amoxicillin;Antihipertensi;Tablet;Resep;500 mg;25000;2026-04-04;30;20;7;30;Ya
310;Lisinopril;Antipiretik;Tablet;Bebas;500 mg;25000;2025-04-16;30;50;7;500;Ya
311;Atorvastatin;Antiinflamasi;Injeksi;Bebas;10 mg;10000;2024-09-07;500;50;15;30;Ya
312;Ciprofloxacin;Analgesik;Injeksi;Bebas;250 mg;5000;2025-11-18;10;15;45;300;Ya
313;Omeprazole;Antipiretik;Sirup;Herbal;50 mg;15000;2025-10-04;30;10;7;30;Tidak
314;Omeprazole;Antipiretik;Tablet;Bebas;5 mg;25000;2025-07-27;100;10;30;200;Tidak
315;Simvastatin;Antiinflamasi;Injeksi;Resep;50 mg;5000;2025-07-18;200;20;45;500;Ya
316;Atorvastatin;Antibiotik;Tablet;Bebas;250 mg;5000;2025-06-18;500;20;15;200;Ya
317;Lisinopril;Antibiotik;Salep;Resep;50 mg;20000;2025-11-27;100;50;7;500;Ya
318;Simvastatin;Antiinflamasi;Salep;Bebas;100 mg;5000;2026-05-01;100;15;7;500;Ya
319;Metformin;Antiinflamasi;Kapsul;Tradisional;10 mg;20000;2026-02-09;500;15;7;30;Tidak
320;Amoxicillin;Antiinflamasi;Salep;Resep;5 mg;15000;2024-11-04;30;5;15;10;Ya
321;Amlodipine;Analgesik;Sirup;Bebas;10 mg;5000;2024-09-14;30;10;15;20;Tidak
322;Ibuprofen;Antipiretik;Sirup;Bebas;500 mg;5000;2024-10-27;500;5;30;300;Ya
323;Lisinopril;Analgesik;Kapsul;Bebas;100 mg;20000;2024-12-05;200;50;15;50;Ya
324;Ciprofloxacin;Antiinflamasi;Sirup;Bebas;10 mg;5000;2026-06-14;10;10;15;50;Tidak
325;Lisinopril;Antipiretik;Kapsul;Resep;5 mg;15000;2024-11-26;50;10;7;50;Tidak
326;Lisinopril;Analgesik;Kapsul;Herbal;5 mg;15000;2025-10-20;200;5;30;200;Ya
327;Amlodipine;Antihipertensi;Tablet;Tradisional;250 mg;25000;2025-02-22;500;20;45;100;Ya
328;Atorvastatin;Analgesik;Injeksi;Tradisional;100 mg;10000;2026-01-04;500;20;15;30;Tidak
329;Ibuprofen;Antiinflamasi;Sirup;Herbal;100 mg;5000;2024-08-04;300;5;45;500;Ya
330;Metformin;Antiinflamasi;Kapsul;Herbal;50 mg;10000;2026-04-19;30;10;30;50;Ya
331;Metformin;Antiinflamasi;Kapsul;Resep;250 mg;25000;2024-09-03;20;30;30;30;Tidak
332;Omeprazole;Antipiretik;Tablet;Bebas;50 mg;15000;2026-02-25;500;15;7;100;Tidak
333;Amoxicillin;Antipiretik;Kapsul;Bebas;250 mg;15000;2026-07-15;500;50;15;500;Tidak
334;Amoxicillin;Antipiretik;Kapsul;Tradisional;250 mg;25000;2025-08-06;20;50;45;50;Tidak
335;Metformin;Antipiretik;Salep;Resep;250 mg;25000;2024-07-28;500;30;15;50;Ya
336;Paracetamol;Antipiretik;Salep;Tradisional;250 mg;15000;2026-01-21;500;20;45;500;Ya
337;Ciprofloxacin;Analgesik;Sirup;Herbal;100 mg;10000;2024-10-22;30;50;15;30;Tidak
338;Amlodipine;Antihipertensi;Sirup;Herbal;10 mg;25000;2026-01-13;100;5;30;10;Tidak
339;Ibuprofen;Analgesik;Kapsul;Tradisional;10 mg;10000;2026-07-06;50;5;30;10;Ya
340;Lisinopril;Antipiretik;Sirup;Tradisional;50 mg;25000;2025-10-26;300;15;7;10;Tidak
341;Omeprazole;Antiinflamasi;Injeksi;Tradisional;5 mg;20000;2025-12-28;50;30;30;50;Tidak
342;Ciprofloxacin;Antipiretik;Tablet;Resep;250 mg;20000;2025-11-27;200;10;30;200;Tidak
343;Ibuprofen;Analgesik;Injeksi;Tradisional;100 mg;10000;2025-08-16;50;50;7;10;Tidak
344;Ciprofloxacin;Antiinflamasi;Tablet;Tradisional;250 mg;10000;2025-01-29;30;15;30;50;Tidak
345;Paracetamol;Antihipertensi;Tablet;Resep;500 mg;10000;2026-03-14;50;20;7;30;Tidak
346;Amoxicillin;Antibiotik;Kapsul;Resep;500 mg;10000;2025-04-10;20;15;7;30;Ya
347;Omeprazole;Antibiotik;Kapsul;Herbal;50 mg;15000;2024-10-28;200;15;45;10;Tidak
348;Ciprofloxacin;Antibiotik;Injeksi;Resep;5 mg;10000;2024-08-11;200;5;15;300;Tidak
349;Amoxicillin;Antibiotik;Tablet;Resep;50 mg;10000;2024-10-21;50;5;15;100;Ya
350;Amlodipine;Antibiotik;Salep;Resep;10 mg;20000;2025-06-09;100;30;15;10;Ya
351;Atorvastatin;Analgesik;Injeksi;Resep;10 mg;5000;2026-06-05;50;50;30;300;Ya
352;Lisinopril;Antiinflamasi;Injeksi;Tradisional;5 mg;25000;2025-03-08;500;20;15;10;Tidak
353;Simvastatin;Analgesik;Sirup;Bebas;5 mg;15000;2024-11-03;300;50;45;200;Ya
354;Metformin;Antibiotik;Sirup;Herbal;10 mg;5000;2024-12-19;30;50;15;100;Tidak
355;Omeprazole;Antiinflamasi;Injeksi;Herbal;100 mg;20000;2025-04-23;100;15;30;300;Tidak
356;Metformin;Antipiretik;Injeksi;Bebas;500 mg;25000;2025-07-26;20;5;45;20;Tidak
357;Atorvastatin;Antipiretik;Kapsul;Resep;100 mg;10000;2025-12-30;10;5;7;300;Ya
358;Amoxicillin;Antiinflamasi;Salep;Bebas;10 mg;10000;2025-08-07;500;50;7;20;Tidak
359;Amlodipine;Antipiretik;Salep;Resep;250 mg;25000;2025-11-03;30;5;7;300;Tidak
360;Amoxicillin;Antipiretik;Tablet;Resep;250 mg;15000;2025-10-01;300;10;7;10;Tidak
361;Amlodipine;Antipiretik;Salep;Tradisional;50 mg;20000;2025-06-13;20;50;45;10;Ya
362;Ciprofloxacin;Antibiotik;Sirup;Tradisional;50 mg;10000;2026-02-23;30;30;45;500;Tidak
363;Simvastatin;Antihipertensi;Injeksi;Tradisional;250 mg;20000;2024-12-30;100;20;7;10;Ya
364;Ciprofloxacin;Antihipertensi;Injeksi;Tradisional;500 mg;25000;2024-10-03;200;5;15;200;Ya
365;Amoxicillin;Antipiretik;Sirup;Tradisional;100 mg;25000;2026-02-06;100;20;45;10;Ya
366;Omeprazole;Antihipertensi;Sirup;Tradisional;100 mg;20000;2026-03-20;10;5;45;300;Ya
367;Atorvastatin;Antiinflamasi;Sirup;Herbal;250 mg;15000;2026-03-26;30;30;15;30;Ya
368;Lisinopril;Analgesik;Kapsul;Bebas;250 mg;10000;2025-10-31;30;20;7;50;Ya
369;Metformin;Antiinflamasi;Tablet;Tradisional;5 mg;25000;2026-06-05;20;30;7;100;Tidak
370;Amoxicillin;Antipiretik;Injeksi;Tradisional;500 mg;10000;2024-08-28;100;20;7;200;Tidak
371;Amlodipine;Antipiretik;Salep;Tradisional;50 mg;20000;2026-05-30;50;20;7;50;Tidak
372;Ibuprofen;Antihipertensi;Injeksi;Bebas;50 mg;5000;2026-04-26;100;5;30;50;Ya
373;Lisinopril;Analgesik;Salep;Herbal;5 mg;15000;2024-11-29;300;30;45;300;Tidak
374;Omeprazole;Antiinflamasi;Salep;Tradisional;100 mg;20000;2025-06-16;300;20;30;100;Tidak
375;Metformin;Analgesik;Sirup;Tradisional;10 mg;25000;2025-07-10;200;15;7;20;Ya
376;Paracetamol;Antipiretik;Kapsul;Herbal;250 mg;10000;2025-09-22;100;5;30;10;Ya
377;Ibuprofen;Antiinflamasi;Sirup;Herbal;5 mg;20000;2025-11-22;100;5;45;20;Ya
378;Ibuprofen;Antipiretik;Kapsul;Herbal;500 mg;10000;2025-10-24;200;50;15;200;Tidak
379;Amlodipine;Antipiretik;Salep;Bebas;50 mg;10000;2026-02-23;100;20;7;30;Ya
380;Lisinopril;Antiinflamasi;Tablet;Tradisional;50 mg;15000;2026-01-21;500;5;7;100;Tidak
381;Paracetamol;Antipiretik;Injeksi;Resep;100 mg;25000;2026-06-05;300;30;45;50;Ya
382;Ciprofloxacin;Antibiotik;Kapsul;Bebas;50 mg;15000;2025-01-06;30;50;15;200;Tidak
383;Simvastatin;Antihipertensi;Kapsul;Bebas;500 mg;20000;2026-02-13;300;10;30;100;Ya
384;Simvastatin;Antihipertensi;Tablet;Resep;250 mg;25000;2024-09-16;500;5;15;200;Ya
385;Metformin;Analgesik;Kapsul;Resep;250 mg;15000;2026-01-18;30;10;7;20;Tidak
386;Amoxicillin;Antipiretik;Injeksi;Herbal;5 mg;20000;2025-07-31;10;10;45;50;Ya
387;Ciprofloxacin;Antihipertensi;Tablet;Bebas;100 mg;10000;2025-06-22;10;10;45;300;Ya
388;Amoxicillin;Antiinflamasi;Sirup;Resep;10 mg;15000;2026-07-15;100;10;45;300;Tidak
389;Simvastatin;Antiinflamasi;Injeksi;Bebas;10 mg;20000;2026-06-27;100;50;15;300;Ya
390;Atorvastatin;Antihipertensi;Kapsul;Bebas;10 mg;25000;2025-03-30;10;5;15;100;Tidak
391;Metformin;Antihipertensi;Tablet;Tradisional;250 mg;20000;2025-07-10;30;30;7;50;Tidak
392;Paracetamol;Antiinflamasi;Salep;Resep;100 mg;5000;2025-08-09;200;50;45;20;Tidak
393;Ibuprofen;Antibiotik;Salep;Resep;500 mg;20000;2024-12-26;200;5;45;50;Ya
394;Simvastatin;Antihipertensi;Salep;Bebas;250 mg;25000;2025-05-04;50;30;7;50;Ya
395;Simvastatin;Antihipertensi;Salep;Resep;10 mg;10000;2025-12-19;100;5;45;200;Ya
396;Amoxicillin;Antibiotik;Kapsul;Bebas;10 mg;25000;2024-11-12;100;5;45;10;Ya
397;Ciprofloxacin;Antihipertensi;Injeksi;Herbal;5 mg;15000;2024-11-26;100;30;7;200;Tidak
398;Paracetamol;Antihipertensi;Tablet;Tradisional;5 mg;5000;2025-11-02;50;50;7;10;Tidak
399;Atorvastatin;Antihipertensi;Tablet;Herbal;50 mg;25000;2025-01-14;20;30;7;50;Tidak
400;Amoxicillin;Antihipertensi;Salep;Bebas;500 mg;20000;2025-07-07;100;15;30;20;Tidak
401;Ciprofloxacin;Antipiretik;Injeksi;Resep;5 mg;5000;2026-06-07;30;30;7;300;Ya
402;Ciprofloxacin;Analgesik;Tablet;Tradisional;5 mg;5000;2025-08-08;30;20;45;30;Tidak
403;Ciprofloxacin;Antibiotik;Tablet;Herbal;250 mg;25000;2026-04-05;30;20;45;10;Ya
404;Lisinopril;Antihipertensi;Tablet;Bebas;500 mg;25000;2024-11-23;20;10;30;300;Ya
405;Paracetamol;Antihipertensi;Tablet;Resep;50 mg;20000;2025-03-17;200;5;30;20;Ya
406;Simvastatin;Antibiotik;Tablet;Bebas;250 mg;20000;2024-11-28;30;50;15;200;Tidak
407;Amlodipine;Antihipertensi;Injeksi;Herbal;250 mg;25000;2024-07-24;10;20;45;300;Tidak
408;Metformin;Analgesik;Sirup;Bebas;250 mg;25000;2024-09-17;500;15;15;10;Ya
409;Amlodipine;Antipiretik;Injeksi;Resep;500 mg;25000;2024-09-15;30;10;7;300;Tidak
410;Amlodipine;Antiinflamasi;Kapsul;Tradisional;10 mg;5000;2025-11-15;200;10;30;20;Tidak
411;Metformin;Antiinflamasi;Injeksi;Bebas;10 mg;10000;2025-08-26;20;5;15;20;Ya
412;Metformin;Antihipertensi;Kapsul;Tradisional;10 mg;10000;2025-10-16;10;15;15;30;Ya
413;Omeprazole;Analgesik;Kapsul;Tradisional;50 mg;5000;2024-07-18;500;30;15;200;Tidak
414;Ciprofloxacin;Antipiretik;Salep;Herbal;500 mg;20000;2025-02-28;300;15;15;300;Ya
415;Ciprofloxacin;Antiinflamasi;Kapsul;Bebas;100 mg;10000;2026-06-18;10;5;45;200;Tidak
416;Amlodipine;Analgesik;Sirup;Resep;500 mg;20000;2025-04-07;10;30;15;500;Ya
417;Simvastatin;Antibiotik;Tablet;Herbal;5 mg;10000;2026-01-20;30;10;15;500;Ya
418;Omeprazole;Antiinflamasi;Salep;Bebas;100 mg;20000;2025-05-26;300;30;15;50;Ya
419;Ibuprofen;Antibiotik;Kapsul;Tradisional;50 mg;15000;2026-01-28;30;15;15;20;Ya
420;Amlodipine;Antibiotik;Kapsul;Herbal;500 mg;25000;2025-08-05;300;50;45;100;Tidak
421;Ciprofloxacin;Antibiotik;Salep;Bebas;100 mg;10000;2025-05-31;10;20;15;30;Ya
422;Ibuprofen;Antiinflamasi;Tablet;Bebas;50 mg;5000;2025-09-25;100;10;45;200;Ya
423;Metformin;Antipiretik;Kapsul;Tradisional;250 mg;25000;2025-09-25;500;5;7;20;Tidak
424;Metformin;Antihipertensi;Tablet;Resep;10 mg;20000;2024-11-20;200;30;15;20;Ya
425;Ciprofloxacin;Analgesik;Injeksi;Tradisional;100 mg;10000;2026-05-29;10;10;45;300;Tidak
426;Amoxicillin;Antiinflamasi;Injeksi;Tradisional;250 mg;15000;2026-01-21;300;20;7;100;Ya
427;Amoxicillin;Antibiotik;Tablet;Herbal;10 mg;10000;2026-07-03;10;20;30;500;Ya
428;Amlodipine;Antihipertensi;Injeksi;Resep;10 mg;10000;2024-10-02;100;5;30;30;Tidak
429;Metformin;Antibiotik;Injeksi;Herbal;500 mg;20000;2025-08-26;20;30;7;200;Ya
430;Lisinopril;Antibiotik;Kapsul;Bebas;500 mg;10000;2024-12-17;10;20;7;30;Ya
431;Atorvastatin;Analgesik;Injeksi;Herbal;50 mg;15000;2025-08-12;500;50;7;200;Ya
432;Metformin;Analgesik;Sirup;Bebas;500 mg;15000;2024-10-22;10;15;7;20;Tidak
433;Metformin;Antipiretik;Kapsul;Tradisional;500 mg;20000;2026-01-20;300;15;7;30;Ya
434;Amlodipine;Antipiretik;Kapsul;Resep;50 mg;25000;2025-04-12;20;10;30;30;Tidak
435;Ibuprofen;Antipiretik;Tablet;Bebas;250 mg;5000;2024-12-03;50;30;30;200;Ya
436;Ibuprofen;Analgesik;Injeksi;Tradisional;10 mg;15000;2025-10-06;10;5;15;20;Tidak
437;Simvastatin;Antipiretik;Kapsul;Herbal;500 mg;20000;2026-06-22;200;15;15;300;Tidak
438;Simvastatin;Analgesik;Sirup;Resep;250 mg;15000;2024-09-14;300;15;15;10;Ya
439;Atorvastatin;Analgesik;Kapsul;Herbal;250 mg;20000;2024-09-26;300;20;15;30;Ya
440;Atorvastatin;Antibiotik;Kapsul;Tradisional;5 mg;5000;2024-08-24;200;50;7;100;Ya
441;Simvastatin;Antipiretik;Kapsul;Resep;100 mg;25000;2025-10-03;500;50;7;20;Ya
442;Paracetamol;Antipiretik;Salep;Tradisional;10 mg;25000;2025-07-25;500;5;45;200;Ya
443;Ibuprofen;Antihipertensi;Sirup;Bebas;500 mg;10000;2026-03-20;30;50;45;300;Tidak
444;Omeprazole;Antiinflamasi;Tablet;Herbal;100 mg;20000;2025-04-30;20;10;7;20;Tidak
445;Amlodipine;Analgesik;Salep;Tradisional;250 mg;10000;2025-11-13;500;15;15;50;Ya
446;Amoxicillin;Analgesik;Salep;Bebas;500 mg;10000;2026-07-05;300;15;7;100;Tidak
447;Paracetamol;Antiinflamasi;Injeksi;Herbal;250 mg;15000;2025-05-10;200;50;7;200;Ya
448;Paracetamol;Antibiotik;Injeksi;Tradisional;5 mg;15000;2025-12-27;500;20;7;500;Ya
449;Amoxicillin;Antihipertensi;Salep;Resep;500 mg;10000;2025-08-05;300;10;45;10;Tidak
450;Paracetamol;Analgesik;Injeksi;Resep;250 mg;20000;2024-11-12;30;20;30;500;Tidak
451;Atorvastatin;Antibiotik;Injeksi;Tradisional;100 mg;15000;2024-12-16;200;20;15;20;Tidak
452;Simvastatin;Analgesik;Sirup;Tradisional;10 mg;25000;2026-06-18;300;30;15;30;Ya
453;Ibuprofen;Antipiretik;Injeksi;Resep;10 mg;20000;2025-09-25;200;10;15;300;Ya
454;Ibuprofen;Antipiretik;Sirup;Tradisional;10 mg;20000;2025-12-15;200;15;30;300;Tidak
455;Omeprazole;Antibiotik;Sirup;Bebas;250 mg;10000;2026-06-17;30;5;7;200;Ya
456;Paracetamol;Antipiretik;Tablet;Herbal;250 mg;10000;2024-09-18;20;30;15;30;Ya
457;Ibuprofen;Analgesik;Salep;Bebas;250 mg;25000;2025-06-09;100;15;30;10;Tidak
458;Simvastatin;Antibiotik;Sirup;Tradisional;50 mg;5000;2025-07-26;100;50;45;500;Tidak
459;Metformin;Antihipertensi;Injeksi;Resep;500 mg;10000;2025-08-17;200;30;30;50;Ya
460;Paracetamol;Antipiretik;Salep;Bebas;500 mg;20000;2026-06-14;500;15;7;300;Tidak
461;Amlodipine;Antihipertensi;Injeksi;Resep;250 mg;25000;2025-05-31;10;10;30;100;Tidak
462;Atorvastatin;Antipiretik;Salep;Herbal;5 mg;25000;2026-01-09;10;15;45;200;Ya
463;Amlodipine;Analgesik;Kapsul;Bebas;50 mg;15000;2025-09-11;30;50;45;30;Tidak
464;Ibuprofen;Antihipertensi;Kapsul;Tradisional;10 mg;10000;2024-12-15;200;5;7;500;Ya
465;Atorvastatin;Antipiretik;Kapsul;Tradisional;100 mg;10000;2025-12-18;200;15;30;300;Ya
466;Ibuprofen;Antiinflamasi;Tablet;Tradisional;100 mg;5000;2024-08-21;20;20;15;300;Ya
467;Omeprazole;Analgesik;Salep;Bebas;100 mg;10000;2025-01-05;30;10;45;200;Tidak
468;Amlodipine;Antipiretik;Injeksi;Bebas;100 mg;20000;2024-10-03;10;20;30;20;Tidak
469;Simvastatin;Antihipertensi;Kapsul;Herbal;10 mg;15000;2025-12-04;300;20;45;500;Tidak
470;Lisinopril;Antibiotik;Salep;Bebas;500 mg;20000;2026-01-15;500;20;45;100;Tidak
471;Amlodipine;Antibiotik;Kapsul;Herbal;10 mg;20000;2026-05-24;100;30;7;100;Tidak
472;Ciprofloxacin;Antipiretik;Sirup;Bebas;100 mg;5000;2025-02-05;30;5;30;100;Ya
473;Atorvastatin;Antibiotik;Salep;Bebas;50 mg;10000;2026-03-28;500;50;15;500;Ya
474;Atorvastatin;Antipiretik;Sirup;Bebas;100 mg;20000;2025-03-10;100;50;15;50;Ya
475;Ibuprofen;Antihipertensi;Injeksi;Herbal;10 mg;10000;2025-01-09;50;50;15;300;Ya
476;Lisinopril;Antipiretik;Sirup;Resep;250 mg;5000;2024-08-27;30;50;7;50;Tidak
477;Amlodipine;Antiinflamasi;Salep;Bebas;10 mg;10000;2026-05-31;20;10;45;100;Ya
478;Amlodipine;Antihipertensi;Kapsul;Herbal;250 mg;5000;2025-06-24;20;5;30;20;Tidak
479;Paracetamol;Antipiretik;Injeksi;Bebas;100 mg;20000;2026-04-25;20;5;45;30;Tidak
480;Ciprofloxacin;Antibiotik;Injeksi;Tradisional;10 mg;20000;2024-08-21;300;15;30;300;Tidak
481;Atorvastatin;Antihipertensi;Injeksi;Tradisional;100 mg;10000;2026-07-01;300;50;45;30;Ya
482;Simvastatin;Antiinflamasi;Injeksi;Resep;50 mg;15000;2026-07-01;20;15;45;500;Ya
483;Metformin;Antibiotik;Salep;Tradisional;5 mg;5000;2024-12-15;200;50;30;200;Ya
484;Simvastatin;Antipiretik;Kapsul;Bebas;250 mg;15000;2025-12-23;200;15;15;10;Tidak
485;Metformin;Antiinflamasi;Injeksi;Resep;100 mg;25000;2026-01-10;200;5;30;30;Tidak
486;Ibuprofen;Antipiretik;Sirup;Herbal;250 mg;25000;2025-04-25;200;50;45;20;Tidak
487;Paracetamol;Antibiotik;Kapsul;Bebas;500 mg;20000;2025-03-11;100;30;7;200;Ya
488;Ibuprofen;Antibiotik;Sirup;Bebas;100 mg;10000;2025-07-15;500;50;45;20;Tidak
489;Atorvastatin;Analgesik;Kapsul;Resep;5 mg;20000;2025-02-02;300;5;45;300;Tidak
490;Metformin;Antihipertensi;Sirup;Resep;500 mg;5000;2025-02-08;10;15;7;10;Tidak
491;Omeprazole;Antipiretik;Kapsul;Bebas;10 mg;5000;2026-07-14;50;20;15;100;Ya
492;Lisinopril;Antihipertensi;Injeksi;Tradisional;50 mg;15000;2024-10-05;500;20;7;500;Ya
493;Paracetamol;Antiinflamasi;Salep;Bebas;5 mg;15000;2025-12-23;20;30;15;50;Ya
494;Paracetamol;Antihipertensi;Salep;Tradisional;250 mg;25000;2025-09-25;200;30;15;100;Ya
495;Metformin;Antihipertensi;Sirup;Resep;100 mg;20000;2026-06-10;20;50;30;500;Ya
496;Ciprofloxacin;Antiinflamasi;Injeksi;Herbal;50 mg;10000;2025-02-16;50;50;15;10;Tidak
497;Amoxicillin;Antipiretik;Sirup;Herbal;5 mg;25000;2024-08-03;30;5;15;10;Tidak
498;Omeprazole;Analgesik;Tablet;Bebas;500 mg;20000;2025-04-12;10;30;45;20;Ya
499;Omeprazole;Antihipertensi;Sirup;Bebas;250 mg;15000;2025-06-30;20;30;30;50;Ya
500;Omeprazole;Analgesik;Tablet;Resep;5 mg;25000;2026-01-08;100;20;15;20;Tidak
501;Ibuprofen;Antihipertensi;Salep;Herbal;10 mg;10000;2025-12-25;50;20;30;300;Ya
502;Paracetamol;Antihipertensi;Sirup;Tradisional;500 mg;25000;2026-04-08;300;20;15;300;Tidak
503;Simvastatin;Antibiotik;Tablet;Resep;500 mg;15000;2026-06-30;200;15;30;100;Ya
504;Metformin;Antipiretik;Tablet;Herbal;100 mg;15000;2024-08-07;200;30;7;200;Ya
505;Amlodipine;Antiinflamasi;Kapsul;Bebas;500 mg;20000;2024-07-27;50;50;15;500;Tidak
506;Amlodipine;Antipiretik;Sirup;Herbal;100 mg;20000;2024-10-07;20;50;7;100;Ya
507;Amlodipine;Antipiretik;Sirup;Bebas;5 mg;10000;2025-10-23;200;50;7;30;Ya
508;Amoxicillin;Antipiretik;Kapsul;Resep;250 mg;20000;2025-07-19;30;10;45;30;Tidak
509;Ibuprofen;Antibiotik;Tablet;Resep;250 mg;25000;2026-04-10;100;20;30;300;Tidak
